icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit;comment;Formel
🧱;heat_balance;heat_loss;uncooled;annual;hull;fundament;QT_ground_u;3;Transmission KD/EFB;kWh/m²NGFungekühlta;;QT_u*IN!N112/transmittance_Wm2
🧱;heat_balance;heat_loss;uncooled;annual;hull;windows;QT_window_u;3;Transmission Fenster;kWh/m²NGFungekühlta;;QT_u*IN!N113/transmittance_Wm2
🧱;heat_balance;heat_loss;uncooled;annual;hull;;QT_psi_u;3;Transmission Wärmebrücken;kWh/m²NGFungekühlta;;QT_u*IN!N114/transmittance_Wm2
💨;heat_balance;heat_loss;uncooled;annual;;;QV_inf_u;3;Infiltration;kWh/m²NGFungekühlta;;-SUMME(sim[Qvinf_u])/1000
💨;heat_balance;heat_loss;uncooled;annual;;;QV_window_u;3;Lüftung Fenster;kWh/m²NGFungekühlta;;-SUMME(sim[Qvwindow_u])/1000
💨;heat_balance;heat_loss;uncooled;annual;;;QV_mechvent_u;3;Mechanische Lüftung;kWh/m²NGFungekühlta;;-SUMME(sim[Qvmechvent_u])/1000
🔀;heat_balance;heat_recovery;uncooled;annual;;;QV_heatrecovery_u;3;ML Wärmerückgewinnung;kWh/m²NGFungekühlta;;"SUMMENPRODUKT(sim[dT_uncooled];sim[ACH_mechvent_u]-sim[ACH_mechvent_therm_u])*cp_air*per_NFA_uncooled * -0,001"
♨;heat_balance;heating_demand;uncooled;annual;;;QH_min_u;3;Heizwärmebedarf Statisch;kWh/m²NGFungekühlta;;SUMME(sim[Qh_to_room_uncooled_min])/1000
♨;heat_balance;heating_demand;uncooled;annual;;;QH_flex_u;3;Heizwärmebedarf Flexibel;kWh/m²NGFungekühlta;;SUMME(sim[Qh_u])/1000-QH_min_u
F;heat_balance;;uncooled;annual;;;QH_flexanteil_u;3;Flexibilitätsanteil;ratio;;"WENNFEHLER(QH_flex_u/QH_u;0)"
🧱;heat_balance;heat_loss;cooled;annual;;;QT_c;3;Transmissionswärmeverl.;kWh/m²NGFgekühlta;;-0,001*SUMME(sim[QT_c])
💨;heat_balance;heat_loss;cooled;annual;;;QV_c;3;Lüftungswärmeverluste;kWh/m²NGFgekühlta;;QV_inf_c+QV_window_c+QV_mechvent_c
