icon;domain;measure;spatial_scope;temporal_scope;var_name;ka;label_de;unit
🧱;heat_balance;Wärmebilanz;;Gekühlt;QT_psi_c;;Transmission Wärmebrücken;kWh/m²NGFgekühlta
💨;heat_balance;Wärmebilanz;;Gekühlt;QV_inf_c;;Infiltration;kWh/m²NGFgekühlta
💨;heat_balance;Wärmebilanz;;Gekühlt;QV_window_c;;Lüftung Fenster;kWh/m²NGFgekühlta
💨;heat_balance;Wärmebilanz;;Gekühlt;QV_mechvent_c;;Mechanische Lüftung;kWh/m²NGFgekühlta
🔀;heat_balance;Wärmebilanz;;Gekühlt;QV_heatrecovery_c;;ML Wärmerückgewinnung;kWh/m²NGFgekühlta
♨;heat_balance;Wärmebilanz;;Gekühlt;QH_min_c;;Heizwärmebedarf Statisch;kWh/m²NGFgekühlta
♨;heat_balance;Wärmebilanz;;Gekühlt;QH_flex_c;;Heizwärmebedarf Flexibel;kWh/m²NGFgekühlta
❄;heat_balance;Wärmebilanz;;Gekühlt;QC_min_c;;Kühlbedarf Statisch;kWh/m²NGFgekühlta
❄;heat_balance;Wärmebilanz;;Gekühlt;QC_flex_c;;Kühlbedarf Flexibel;kWh/m²NGFgekühlta
F;heat_balance;Wärmebilanz;;Gekühlt;QC_flexanteil;;Flexibilitätsanteil;
F;heat_balance;Wärmebilanz;;Gekühlt;QH_flexanteil_c;;Flexibilitätsanteil;
;comfort;Komfort;Winter;;Tu_avg_winter;;Mitteltemperatur ungekühlt;°C
;comfort;Komfort;Winter;;Tc_avg_winter;;Mitteltemperatur gekühlt;°C
;comfort;Komfort;Sommer;;Tu_avg_summer;;Mitteltemperatur ungekühlt;°C
;comfort;Komfort;Sommer;;Tc_avg_summer;;Mitteltemperatur gekühlt;°C
;comfort;Komfort;Winter;;dTu_winter;;Mittlere Temperaturüberschreitung ungekühlt;K
;comfort;Komfort;Winter;;dTc_winter;;Mittlere Temperaturüberschreitung gekühlt;K
;comfort;Komfort;Sommer;;dTu_summer;;Mittlere Temperaturunterschreitung ungekühlt;°C
;comfort;Komfort;Sommer;;dTc_summer;;Mittlere Temperaturunterschreitung gekühlt;°C
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUI_plugAuxLight;;Nutzerstrom, Beleuchtung und Allgemeinstrom;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUI_plugloads;;Nutzerstrom;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUI_auxiliary;;Beleuchtung;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUI_lighting;;Allgemeinstrom;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUIh_el;;Heizen;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUIh_el_aux;;Heizen Hilfsstrom;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUIc_el;;Kühlen;kWh/m²NGFa
;;;;Endenergiebedarf;EUIc_el_aux;;Heizen Hilfsstrom;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUIdhw_el;;Warmwasser;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUIv_el;;Lüftung;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUIdhwdirect_el;;"WW
E-Stab";kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;Batt_total_charge_input;;e-Speicher Beladung;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUIev_el;;EV Quartiersladung;kWh/m²NGFa
O;final_energy;EE-Bilanz;Elektrisch;Endenergiebedarf;EUI_el_total;;Quartier;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Erneuerbare Erzeugung;PV_total;;PV Ertrag;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Haushaltsstrom;PV_to_plugloads;PV Direktdeckung;PV Direktdeckung Haushaltsstrom;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Heizen;PV_to_Eh_min;PV Direktdeckung;PV Direktdeckung Heizen;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Kühlen;PV_to_Ec_min;PV Direktdeckung;PV Direktdeckung Kühlen;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Warmwasser;PV_to_Edhw_min;PV Direktdeckung;PV Direktdeckung Warmwasser;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Lüftung;PV_to_Ev_min;PV Direktdeckung;PV Direktdeckung Lüftung;kWh/m²NGFa
