icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit
;heat_balance;heat_loss;district;summer;;;QV_window_summer;3;Lüftung Fenster;kWh/m²NGFa
;heat_balance;heat_loss;district;summer;;;QV_mechvent_summer;3;Mechanische Lüftung;kWh/m²NGFa
;heat_balance;heat_recovery;district;summer;;;QV_heatrecovery_summer;3;ML Wärmerückgewinnung 2;kWh/m²NGFa
;heat_balance;heating_demand;district;summer;;;QH_min_summer;3;Heizwärmebedarf Statisch;kWh/m²NGFa
;heat_balance;heating_demand;district;summer;;;QH_flex_summer;3;Heizwärmebedarf Flexibel;kWh/m²NGFa
;heat_balance;cooling_demand;district;summer;;;QC_min_summer;3;Kühlbedarf Statisch;kWh/m²NGFa
;heat_balance;cooling_demand;district;summer;;;QC_flex_summer;3;Kühlbedarf Flexibel;kWh/m²NGFa
;heat_balance;;district;summer;;;QH_flexshare_summer;3;Anteil Flexibler Heizung an Gesamtheizung;ratio
;heat_balance;;district;summer;;;QC_flexshare_summer;3;Anteil Flexibler Kühlung an Gesamtkühlung;ratio
☑;heat_balance;;Test;annual;;;test_heat_balance;3;Wärmebilanz;True
🧱;heat_balance;heat_loss;uncooled;annual;;;QT_u;3;Transmissionswärmeverl.;kWh/m²NGFungekühlta
💨;heat_balance;heat_loss;uncooled;annual;;;QV_u;3;Lüftungswärmeverluste;kWh/m²NGFungekühlta
🌒;heat_balance;heat_loss;uncooled;annual;;;QVn_u;3;Nachtlüftung;kWh/m²NGFungekühlta
🌞;heat_balance;heat_gain;uncooled;annual;;;QS_u;3;Solare Gewinne;kWh/m²NGFungekühlta
👤;heat_balance;heat_gain;uncooled;annual;;;QI_u;3;Innere Wärmen;kWh/m²NGFungekühlta
♨;heat_balance;heating_demand;uncooled;annual;;;QH_u;3;Heizwärmebedarf;kWh/m²NGFungekühlta
🧱;heat_balance;heat_loss;uncooled;annual;hull;wall;QT_wall_u;3;Transmission AW;kWh/m²NGFungekühlta
🧱;heat_balance;heat_loss;uncooled;annual;hull;roof;QT_roof_u;3;Transmission Dach;kWh/m²NGFungekühlta
🧱;heat_balance;heat_loss;uncooled;annual;hull;fundament;QT_ground_u;3;Transmission KD/EFB;kWh/m²NGFungekühlta
🧱;heat_balance;heat_loss;uncooled;annual;hull;windows;QT_window_u;3;Transmission Fenster;kWh/m²NGFungekühlta
🧱;heat_balance;heat_loss;uncooled;annual;hull;;QT_psi_u;3;Transmission Wärmebrücken;kWh/m²NGFungekühlta
💨;heat_balance;heat_loss;uncooled;annual;;;QV_inf_u;3;Infiltration;kWh/m²NGFungekühlta
💨;heat_balance;heat_loss;uncooled;annual;;;QV_window_u;3;Lüftung Fenster;kWh/m²NGFungekühlta
💨;heat_balance;heat_loss;uncooled;annual;;;QV_mechvent_u;3;Mechanische Lüftung;kWh/m²NGFungekühlta
🔀;heat_balance;heat_recovery;uncooled;annual;;;QV_heatrecovery_u;3;ML Wärmerückgewinnung;kWh/m²NGFungekühlta
♨;heat_balance;heating_demand;uncooled;annual;;;QH_min_u;3;Heizwärmebedarf Statisch;kWh/m²NGFungekühlta
♨;heat_balance;heating_demand;uncooled;annual;;;QH_flex_u;3;Heizwärmebedarf Flexibel;kWh/m²NGFungekühlta
F;heat_balance;;uncooled;annual;;;QH_flexanteil_u;3;Flexibilitätsanteil;ratio
🧱;heat_balance;heat_loss;cooled;annual;;;QT_c;3;Transmissionswärmeverl.;kWh/m²NGFgekühlta
💨;heat_balance;heat_loss;cooled;annual;;;QV_c;3;Lüftungswärmeverluste;kWh/m²NGFgekühlta
🌒;heat_balance;heat_loss;cooled;annual;;;QVn_c;3;Nachtlüftung gekühlt;kWh/m²NGFgekühlta
🌞;heat_balance;heat_gain;cooled;annual;;;QS_c;3;Solare Gewinne;kWh/m²NGFgekühlta
👤;heat_balance;heat_gain;cooled;annual;;;QI_c;3;Innere Wärmen;kWh/m²NGFgekühlta
♨;heat_balance;heating_demand;cooled;annual;;;QH_c;3;Heizwärmebedarf;kWh/m²NGFgekühlta
❄;heat_balance;cooling_demand;cooled;annual;;;QC_c;3;Kühlbedarf (KB);kWh/m²NGFgekühlta
🧱;heat_balance;heat_loss;cooled;annual;hull;wall;QT_wall_c;3;Transmission AW;kWh/m²NGFgekühlta
🧱;heat_balance;heat_loss;cooled;annual;hull;roof;QT_roof_c;3;Transmission Dach;kWh/m²NGFgekühlta
🧱;heat_balance;heat_loss;cooled;annual;hull;fundament;QT_ground_c;3;Transmission KD/EFB;kWh/m²NGFgekühlta
🧱;heat_balance;heat_loss;cooled;annual;hull;windows;QT_window_c;3;Transmission Fenster;kWh/m²NGFgekühlta
🧱;heat_balance;heat_loss;cooled;annual;hull;;QT_psi_c;3;Transmission Wärmebrücken;kWh/m²NGFgekühlta
💨;heat_balance;heat_loss;cooled;annual;;;QV_inf_c;3;Infiltration;kWh/m²NGFgekühlta
💨;heat_balance;heat_loss;cooled;annual;;;QV_window_c;3;Lüftung Fenster;kWh/m²NGFgekühlta
💨;heat_balance;heat_loss;cooled;annual;;;QV_mechvent_c;3;Mechanische Lüftung;kWh/m²NGFgekühlta
🔀;heat_balance;heat_recovery;cooled;annual;;;QV_heatrecovery_c;3;ML Wärmerückgewinnung;kWh/m²NGFgekühlta
♨;heat_balance;heating_demand;cooled;annual;;;QH_min_c;3;Heizwärmebedarf Statisch;kWh/m²NGFgekühlta
♨;heat_balance;heating_demand;cooled;annual;;;QH_flex_c;3;Heizwärmebedarf Flexibel;kWh/m²NGFgekühlta
❄;heat_balance;cooling_demand;cooled;annual;;;QC_min_c;3;Kühlbedarf Statisch;kWh/m²NGFgekühlta
❄;heat_balance;cooling_demand;cooled;annual;;;QC_flex_c;3;Kühlbedarf Flexibel;kWh/m²NGFgekühlta
F;heat_balance;;cooled;annual;;;QC_flexanteil;3;Flexibilitätsanteil;ratio
F;heat_balance;;cooled;annual;;;QH_flexanteil_c;3;Flexibilitätsanteil;ratio
;comfort;temperature;uncooled;winter;;;Tu_avg_winter;3;Mitteltemperatur ungekühlt;°C
;comfort;temperature;cooled;winter;;;Tc_avg_winter;3;Mitteltemperatur gekühlt;°C
;comfort;temperature;uncooled;summer;;;Tu_avg_summer;3;Mitteltemperatur ungekühlt;°C
;comfort;temperature;cooled;summer;;;Tc_avg_summer;3;Mitteltemperatur gekühlt;°C
