var_name;Domain;Measure;Unit;Formula
Qc_from_room_flex;Kühlbedarf;Kühbedarf raumseitig;Wh/m²cooled;=MIN(QCmax_room_m2-[@[Qc_from_room_min]],AND([@[is_cooling_period]],NOT([@[is_heating_period]]))*MAX(IFNA([@[Ti_passive_cooled]]-Tsetcool_flex,0),0)*heat_cap_eff_cooled_m2+[@[Qc_from_room_min]])
Qc_min_0fc;Kühlbedarf;Kühbedarf raumseitig;Wh/m²cooled;=MIN([@[Qc_from_room_min]],QCmax_freecooling)
Qc_min_1el;Kühlbedarf;Kühbedarf raumseitig;Wh/m²cooled;=MIN([@[Qc_from_room_min]]-[@[Qc_min_0fc]],QCmax_1el)
Qc_min_2th;Kühlbedarf;Kühbedarf raumseitig;Wh/m²cooled;=MIN([@[Qc_from_room_min]]-SUM(sim[@[Qc_min_0fc]:[Qc_min_1el]]),QCmax_2th)
Qc_min_3el;Kühlbedarf;Kühbedarf raumseitig;Wh/m²cooled;=MIN([@[Qc_from_room_min]]-SUM(sim[@[Qc_min_0fc]:[Qc_min_2th]]),QCmax_3el)
Qc_flex_1el;Kühlbedarf;Kühbedarf raumseitig;Wh/m²cooled;=FLEX_cool1_use*MIN(QCmax_1el-[@[Qc_min_1el]],[@[Qc_from_room_flex]])
Qc_flex_3el;Kühlbedarf;Kühbedarf raumseitig;Wh/m²cooled;=FLEX_cool3_use*MIN(QCmax_3el-[@[Qc_min_3el]],[@[Qc_from_room_flex]])
Tdhw1_0;Warmwasser-Wärmebedarf;WW Temperatur;°C;=DHW_Tmin*DHW_1_is_used
Tdhw2_0;Warmwasser-Wärmebedarf;WW Temperatur;°C;=DHW_Tmin*DHW_2_is_used
DHW_residential_kW;Warmwasser-Wärmebedarf;WWWB je Nutzung;kW;=NFA_residential*Nutzung_Wohnen[@[Warmwasserbedarf_W_m2]]*DHW_demand_residential_kWhm2/DHW_default_residential_kWhm2/1000
DHW_office_kW;Warmwasser-Wärmebedarf;WWWB je Nutzung;kW;=NFA_office*Nutzung_Büro[@[Warmwasserbedarf_W_m2]]*DHW_demand_office_kWhm2/DHW_default_office_kWhm2/1000
DHW_schoolsec_kW;Warmwasser-Wärmebedarf;WWWB je Nutzung;kW;=NFA_schoolsec*Nutzung_Schule[@[Warmwasserbedarf_W_m2]]*DHW_demand_schoolsec_kWhm2/DHW_default_schoolsec_kWhm2/1000
DHW_schoolprim_kW;Warmwasser-Wärmebedarf;WWWB je Nutzung;kW;=NFA_schoolprim*Nutzung_KIGA[@[Warmwasserbedarf_W_m2]]*DHW_demand_schoolprim_kWhm2/DHW_default_schoolprim_kWhm2/1000
DHW_retailsupermarket_kW;Warmwasser-Wärmebedarf;WWWB je Nutzung;kW;=NFA_retailfood*Nutzung_Handel_Food[@[Warmwasserbedarf_W_m2]]*DHW_demand_retailfood_kWhm2/DHW_default_retailfood_kWhm2/1000
DHW_retailother_kW;Warmwasser-Wärmebedarf;WWWB je Nutzung;kW;=NFA_retailother*Nutzung_Handel_NonFood[@[Warmwasserbedarf_W_m2]]*DHW_demand_retailother_kWhm2/DHW_default_retailother_kWhm2/1000
DHW_other_kW;Warmwasser-Wärmebedarf;WWWB je Nutzung;kW;0
DHW_storage_losses_1;Warmwasser-Wärmebedarf;WW Verluste;kW;=DHW_losses_1*DHW_storage_1_liter*cp_water/1000
