var_name;Kategorie;Name;Bereich;Einheit;Label;Kommentar;Formel
QV_mechvent_winter;Wärmebilanz;Mechanische Lüftung;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qvmechvent_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[Qvmechvent_c]) * NFAfrac_c) * -0,001"
QV_heatrecovery_winter;Wärmebilanz;ML Wärmerückgewinnung;Heizperiode;kWh/m²NGFa;;;"SUMMENPRODUKT(sim[is_heating_period]; sim[dT_uncooled]; sim[ACH_mechvent_u]-sim[ACH_mechvent_therm_u])*cp_air*per_NFA_uncooled * -0,001 * NFAfrac_u +
 SUMMENPRODUKT(sim[is_heating_period]; sim[dT_cooled];   sim[ACH_mechvent_c]-sim[ACH_mechvent_therm_c])*cp_air*per_NFA_cooled   * -0,001 * NFAfrac_c"
QH_min_winter;Wärmebilanz;Heizwärmebedarf Statisch;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qh_to_room_uncooled_min]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[Qh_to_room_cooled_min]) * NFAfrac_c) * 0,001"
QH_flex_winter;Wärmebilanz;Heizwärmebedarf Flexibel;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qh_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[Qh_c]) * NFAfrac_c) * 0,001 - QH_min_winter"
QC_min_winter;Wärmebilanz;Kühlbedarf Statisch;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qc_min_excl_losses]) * NFAfrac_c) * -0,001"
QC_flex_winter;Wärmebilanz;Kühlbedarf Flexibel;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qc_flex_excl_losses]) * NFAfrac_c) * -0,001"
QH_flexshare_winter;Wärmebilanz;Anteil Flexibler Heizung an Gesamtheizung;Heizperiode;;;;"WENNFEHLER(QH_flex_winter/QH_winter;0)"
QC_flexshare_winter;Wärmebilanz;Anteil Flexibler Kühlung an Gesamtkühlung;Heizperiode;;Flexibilitätsanteil;;"WENNFEHLER(QC_flex_winter/QC_winter;0)"
QT_summer;Wärmebilanz;Transmissionswärmeverl.;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[QT_u])*NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[QT_c])*NFAfrac_c  ) * -0,001"
QV_summer;Wärmebilanz;Lüftungswärmeverluste;Kühlperiode;kWh/m²NGFa;;;QV_inf_summer + QV_window_summer + QV_mechvent_summer
QVn_summer;Wärmebilanz;Nachtlüftung gekühlt;Kühlperiode;kWh/m²NGFa;;;"SUMMENPRODUKT(sim[is_cooling_period]; sim[Qv_nightvent]) * NFAfrac_u * -0,001"
QS_summer;Wärmebilanz;Solare Gewinne;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[QS_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[QS_c]) * NFAfrac_c) * 0,001"
QI_summer;Wärmebilanz;Innere Wärmen;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[QI_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[QI_c]) * NFAfrac_c) * 0,001"
QH_summer;Wärmebilanz;Heizwärmebedarf;Kühlperiode;kWh/m²NGFa;;;QH_min_summer + QH_flex_summer
QC_summer;Wärmebilanz;Kühlbedarf (KB);Kühlperiode;kWh/m²NGFa;;;QC_min_summer + QC_flex_summer
QT_wall_summer;Wärmebilanz;Transmission AW;Kühlperiode;kWh/m²NGFa;;;QT_summer * transmittance_walls_Wm2NFA / transmittance_Wm²
QT_roof_summer;Wärmebilanz;Transmission Dach;Kühlperiode;kWh/m²NGFa;;;QT_summer * transmittance_roof_Wm2NFA / transmittance_Wm²
QT_ground_summer;Wärmebilanz;Transmission KD/EFB;Kühlperiode;kWh/m²NGFa;;;QT_summer * transmittance_fundament_Wm2NFA / transmittance_Wm²
QT_window_summer;Wärmebilanz;Transmission Fenster;Kühlperiode;kWh/m²NGFa;;;QT_summer * transmittance_windows_Wm2NFA / transmittance_Wm²
QT_psi_summer;Wärmebilanz;Transmission Wärmebrücken;Kühlperiode;kWh/m²NGFa;;;QT_summer * transmittance_heatbridge_Wm2NFA / transmittance_Wm²
QV_inf_summer;Wärmebilanz;Infiltration;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvinf_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvinf_c]) * NFAfrac_c ) * -0,001"
QV_window_summer;Wärmebilanz;Lüftung Fenster;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvwindow_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvwindow_c]) * NFAfrac_c ) * -0,001"
QV_mechvent_summer;Wärmebilanz;Mechanische Lüftung;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvmechvent_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvmechvent_c]) * NFAfrac_c) * -0,001"
QV_heatrecovery_summer;Wärmebilanz;ML Wärmerückgewinnung 2;Kühlperiode;kWh/m²NGFa;;;"SUMMENPRODUKT(sim[is_cooling_period]; sim[dT_uncooled]; sim[ACH_mechvent_u]-sim[ACH_mechvent_therm_u])*cp_air*per_NFA_uncooled * -0,001 * NFAfrac_u +
 SUMMENPRODUKT(sim[is_cooling_period]; sim[dT_cooled];   sim[ACH_mechvent_c]-sim[ACH_mechvent_therm_c])*cp_air*per_NFA_cooled   * -0,001 * NFAfrac_c"
QH_min_summer;Wärmebilanz;Heizwärmebedarf Statisch;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qh_to_room_uncooled_min]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qh_to_room_cooled_min]) * NFAfrac_c) * 0,001"
QH_flex_summer;Wärmebilanz;Heizwärmebedarf Flexibel;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qh_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qh_c]) * NFAfrac_c) * 0,001 - QH_min_summer"
QC_min_summer;Wärmebilanz;Kühlbedarf Statisch;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qc_min_excl_losses]) * NFAfrac_c) * -0,001"
QC_flex_summer;Wärmebilanz;Kühlbedarf Flexibel;Kühlperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qc_flex_excl_losses]) * NFAfrac_c) * -0,001"
QH_flexshare_summer;Wärmebilanz;Anteil Flexibler Heizung an Gesamtheizung;Kühlperiode;;;;"WENNFEHLER(QH_flex_summer/QH_summer;0)"
QC_flexshare_summer;Wärmebilanz;Anteil Flexibler Kühlung an Gesamtkühlung;Kühlperiode;;;;"WENNFEHLER(QC_flex_summer/QC_summer;0)"
