,Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020,REF,REG,uba30,uba50,veigl30,veigl50
2021-12-12 20:00:00,0.0016163145909723698,0.05823886125018089,0.6769112058799122,0.5708196717150721,0.07108064236806666,0.0,0.31698459770158127,0.07710580104434392,0.0,0.6954468802698146,1.0,0.0,0.0,0.0,0.0,0.0
2021-12-12 21:00:00,0.0007553997941544688,0.05523799819166503,0.6986972744999445,0.582950819584526,0.030374326989436026,0.0,0.2905477103143377,0.08397512891152409,0.0,0.6650927487352446,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12 22:00:00,0.0006392967808431488,0.07039129902377225,0.685806293521216,0.566229507478251,0.0027644159315138245,0.0,0.22096710883401918,0.07264073793067681,0.0,0.6566610455311974,1.0,0.0,0.0,0.0,1.0,0.0
2021-12-12 23:00:00,0.000617171489627218,0.07597664734437644,0.6199564731435607,0.5544262286968178,0.022687854921797656,0.0,0.16537346958323085,0.07264073793067681,0.0,0.6870151770657673,0.0,1.0,1.0,1.0,1.0,1.0
2021-12-13 00:00:00,0.0006969831836833644,0.08510844928723064,0.6998544069225476,0.5285245894648609,0.018033969101610058,0.0,0.14236974906705382,0.06130634694982953,0.0006749915626054677,0.6920741989881957,1.0,1.0,1.0,1.0,1.0,0.0
2021-12-13 01:00:00,0.0011467910843108683,0.09536936849030332,0.7317710149118624,0.4914754094777389,0.014489597576515774,0.0,0.168492993747805,0.05031542236234125,0.003374957813027338,0.6526138279932547,1.0,1.0,1.0,1.0,1.0,0.0
2021-12-13 02:00:00,0.0014755305597370083,0.1202120174587141,0.7875019104064032,0.5065573767430042,0.0,0.0,0.20823546867047424,0.040354896954930004,0.019237259534255827,0.6347386172006746,1.0,1.0,1.0,0.0,1.0,0.0
2021-12-13 03:00:00,0.0023408266023402418,0.11190340660494281,0.860012206981915,0.584262295337515,0.0,0.0,0.19786121967572728,0.03863756498813496,0.06851164360445496,0.6499156829679597,1.0,1.0,0.0,0.0,1.0,0.0
2021-12-13 04:00:00,0.0028165568738642986,0.1038895939900337,0.8449237730678509,0.6790163937783609,0.0010998213921076506,0.0,0.18428405887468005,0.037950632201416944,0.12791090111373613,0.6053962900505903,1.0,0.0,0.0,0.0,0.0,0.0
2021-12-13 05:00:00,0.004655073646916132,0.10490812167538653,0.8269621271617513,0.6809836062096573,0.00041614863485154343,0.0,0.19459971114821406,0.031081304334236764,0.20485993925075943,0.5635750421585161,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-13 06:00:00,0.006115123804878298,0.12046147627104092,0.8248748548924946,0.6285245900190225,0.0018578064055872479,0.0,0.1865126123808111,0.0321117035143138,0.3027337158285522,0.5618887015177066,1.0,1.0,1.0,0.0,1.0,0.0
2021-12-13 07:00:00,0.009275608472891224,0.14522687347821503,0.7932205537951807,0.610491803507719,0.0020361558205236234,0.0,0.17352667747200223,0.03657676662798091,0.41208234897063795,0.5902192242833053,1.0,0.0,0.0,0.0,1.0,0.0
2021-12-13 08:00:00,0.01001297213856274,0.1672132765244727,0.7385953887743244,0.7111475405904145,0.0014267953194910062,0.0,0.15784003470728875,0.032455169907672804,0.5507931150860615,0.5595278246205734,0.0,0.0,0.0,0.0,0.0,1.0
