Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
0.3234603,0.7713875,0.0623145,4.253420189,0.743655,3.1,664.956,14.34,2449,1413
0.3458383,0.5748843,0.0573628,4.886069923,0.62259,1.7,391.983,38.717,2390,1654
0.4381258,0.8489923,0.1033878,4.697807368,0.831621,3.1,349.314,50.059,2254,1694
0.4564418,1.241198,0.13448,3.51788278,1.627914,5,342.935,55.992,2266,1490
0.4806538,1.2185268,0.2355723,3.344943927,3.32646,4.4,303.341,58.766,2211,1730
0.5581933,1.5339278,0.2720508,3.644850547,2.747295,6,244.175,81.075,2149,1293
0.6095233,1.5526728,0.3770945,3.552908366,3.890997,6.6,269.821,61.435,2228,1232
0.6103603,1.4978033,0.4673235,3.557286566,3.990675,7.1,467.814,40.933,2259,1266
0.6206148,1.8026365,0.5125163,2.817370957,4.258743,9.4,461.7,50.579,2290,1492
0.7229368,1.8597158,0.4758968,4.382577056,3.935898,9.7,471.497,59.447,2196,1752
0.7745483,1.8075138,0.4042688,3.463155293,3.929796,9.2,571.673,83.802,2081,1781
0.7206625,1.797605,0.2896473,2.02053877,3.4494,8.6,762.348,145.964,2075,1631
0.771564,1.7697848,0.6254698,1.324405157,3.440802,7,1152.481,192.736,1788,1534
0.8205308,1.6475105,0.9506945,1.608988076,3.360522,5.8,1515.024,260.034,1445,1383
0.7832745,1.551584,0.6530618,1.926407497,2.91924,5,1506.481,365.794,1218,1140
0.8556858,1.3836048,0.4396328,2.502140645,3.868236,4.2,1540.01,447.945,1263,1056
0.720095,1.5720703,0.341458,2.635675712,3.924939,5.7,1374.429,588.125,1395,881
0.6338663,1.6877435,0.3158768,3.22016526,3.282735,6.6,1285.137,682.953,1163,661
0.4092803,1.5163198,0.3670338,4.089237727,3.034287,5.3,1200.3,877.347,1069,376
0.347385,1.6906675,0.5783463,5.168463742,3.547512,6.9,926.478,840.11,1220,111
0.2820843,1.554801,0.6596695,6.302417253,3.669156,6.3,817.813,909.265,1525,9
0.2568615,1.584651,0.7857433,6.050670819,3.791022,6.8,610.168,954.825,1663,4
0.219514,1.711476,1.1490545,6.076940003,3.569322,7.9,542.591,926.036,1727,10
0.2272155,1.7456278,1.568226,6.12728929,3.4908,8.2,540.243,977.328,1929,20
0.1946393,1.8488763,1.440103,6.409683118,3.697014,8.5,640.771,974.221,2179,38
0.1141968,1.845847,0.9606183,6.499436199,3.209934,7.6,793.78,994.946,2452,43
0.0941393,1.7902228,1.2847368,6.337442838,4.021497,6,905.09,997.486,2641,119
0.1087313,1.728631,1.0508705,5.713549504,3.968883,5.2,1035.177,1012.432,2696,263
0.1063995,1.8233235,0.889138,6.475356106,3.901626,6.2,1284.236,955.389,2679,635
0.0759883,1.793932,0.681202,6.602323873,4.465791,6.9,1068.954,816.115,2556,944
0.0324133,1.8347633,0.7006778,6.573865579,4.509372,7.7,983.652,650.031,2473,732
0.0420705,1.7704235,0.893951,6.556352787,4.551984,8.5,976.431,638.616,2510,689
0.0200725,1.6902485,0.9212783,6.659240451,3.882936,8.5,725.725,624.985,2589,811
0.0108235,1.2793688,0.9775395,6.676753253,1.789899,6,694.942,600.613,2678,860
0.0166678,0.7866558,1.3227488,6.674564153,0.885486,2.5,700.94,570.698,2470,867
0.0228775,0.5012668,1.6461868,6.65267316,1.009995,0,685.115,604.688,2155,945
0.0248425,0.5395133,1.6074245,6.661429551,1.803699,0,596.863,670.5,2310,1297
0.0294575,0.4192103,1.4179185,6.630782167,1.617855,0,490.511,601.753,2297,1481
