Roof tilt: 15° (Vienna);Azi80Tilt27Wp460;Gesamtquartier;Azi-100Tilt15Wp460;BICHL_100 kWp 90%;V1oPBlend_ges;Var_Planstand_Pilzgasse
0.13799999999999998;0.056;151.1215286838686;0.052;10.928700000000001;17.78;144.025
0.10066666666666667;0.04;102.30849514025088;0.034;6.6636;12.12;106.853
0.03233333333333333;0.015;39.285443735322225;0.014;2.7495000000000003;4.48;52.333
0.0006666666666666666;0;0;0;0.49860000000000004;0.07;0.274
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0006666666666666666;0;0;0;0;0.07;0
0.03366666666666667;0.012;34.10884459033086;0.013;1.3032;3.81;21.355
0.079;0.021;58.60574752864296;0.022;6.748200000000001;6.48;95.503
0.123;0.024;68.75403619449932;0.026;10.8495;7.44;151.122
0.143;0.018;51.844244633258704;0.019;13.4586;5.65;33.878
0.15933333333333333;0.018;51.844244633258704;0.019;14.7672;5.64;80.675
0.13599999999999998;0.065;168.98955515275955;0.054;13.4253;21.01;9.836
0.077;0.096;201.31481370414588;0.04;10.1079;29.88;66.124
0.03866666666666667;0.107;187.24949091435806;0.021;5.4333;30.04;63.216
0.0006666666666666666;0.001;2.7540182673513014;0.001;0.8513999999999999;0.44;3.204
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0006666666666666666;0;0;0;0;0;0.275
0.007333333333333333;0.006;17.29547351837344;0.007;2.0781;1.98;13.822
0.017333333333333333;0.018;50.63295419443867;0.019;19.1151;5.64;37.066
0.028333333333333335;0.026;72.66510033324907;0.027;35.775;8.07;57.212
0.03166666666666667;0.027;77.01609099655323;0.029;41.3892;8.39;67.829
