Icon	Name	Einheit	Kommentar	Type	var_name	REF	ka	STAGE	Default Var	Neues Projekt	Test_PG2	Test_AB	Test_RU	TESTWuerfel	Alliiertenviertel Bestand	Pgteilgeühlt	Beispielquartier ohne Kühlung	Test	Spalte2	Spalte3	Spalte4	Kurze ID	Kurze ID_2	Kurze ID_2_2	Kurze ID_2_2_2_2	test_2
⚖	THG-Konversionsfaktor Kühlen 2 Thermisch 	kgCO2eq/kWhEE				=SVERWEIS(cool_th2_carrier_type;cf_constant;5;FALSCH)	0	0,0200									0,0	0,0200				0,02	0,02	0,02	0,02	0,02
⚖	THG-Konversionsfaktor WWWB 1 Thermisch	kgCO2eq/kWhEE				=WENNFEHLER(SVERWEIS(DHW_carriertype_1;cf_constant;5;FALSCH);0)	0	0,0000									0,0	0,0000				0	0	0	0	0
⚖	THG-Konversionsfaktor WWWB 2 Thermisch	kgCO2eq/kWhEE				=WENNFEHLER(SVERWEIS(DHW_carriertype_2;cf_constant;5;FALSCH);0)	0	0,0200									0,0	0,0200				0,02	0,02	0,02	0,02	0,02
						=[@Buffer]	0	0,0									0,0	0,0				0	0	0	0	0
						=[@Buffer]	0	0,0									0,0	0,0				0	0	0	0	0
						=[@Buffer]	0	0,0										0,0				0	0	0	0	0
🏆	Primärenergiefaktor	kWhPE/kWhEE	f_PE			#NV	1	1,63										1,63				1,63	1,63	1,63	1,63	1,63
🏆	Ausnutzungsfaktor Erneuerbare	kWhEE/m²GF	A			#NV	1	38										38				38	38	38	38	38
🏆	Skalierungsfaktor	-	dx			#NV	1	0,15										0,15				0,15	0,15	0,15	0,15	0,15
🏆	Energieintensität Bedarf	kWhEE/m²NGFa	EUI			#NV	1	33										33				33	33	33	33	33
🏆	Maximum	kWhPE/m²NGFa	cutoff			#NV	1	125										125				125	125	125	125	125
🏆	Kontextfaktor Dichte im Quartier	kWhPE/m²NGFa			context_factor_density	=-MIN(K828*(K829/(FSI+K830)-K831);K832)	0	25,8										25,8				25,75272756	25,75272756	25,75272756	25,75272756	25,75272756
🏆	Mobilitätsbudget Wohnen	kWhPE/m²NGFa				#NV	1	14,11									0,0	14,11				14,1077404	14,1077404	14,1077404	14,1077404	14,1077404
